id,cx_uv_mm,cy_uv_mm,cx_xyz_mm,cy_xyz_mm,cz_xyz_mm,diameter_mm,circularity,area_px
0,12.405271,-43.542023,20.141999,13.305685,-36.103578,0.773870,0.630092,290
1,11.405703,-42.483490,19.285271,12.303983,-35.485323,1.042507,0.461168,351
2,-10.654012,-34.652260,12.947033,-9.771428,-30.961814,0.614769,0.726149,207
3,11.612844,-32.449605,11.164305,12.490844,-29.591534,0.543917,0.738292,163
4,11.596366,-28.560704,8.016807,12.466507,-27.307571,0.567041,0.749452,173
5,-7.177220,-13.766052,-3.957305,-6.336869,-18.683015,0.727993,0.531038,282
6,12.725081,-6.057021,-10.196642,13.549734,-14.086881,0.625223,0.635799,207
7,5.460075,-5.528629,-10.624297,6.283703,-13.801547,0.645691,0.712719,223
8,-6.634166,-5.458842,-10.680780,-5.810607,-13.802177,0.725143,0.532395,288
9,-8.625104,0.598630,-15.583420,-7.813775,-10.251369,0.781221,0.758524,324
10,12.918727,4.093645,-18.412124,13.722865,-8.124551,0.634587,0.663701,219
11,5.605104,6.449597,-20.318924,6.404524,-6.766026,0.833756,0.718277,370
12,-6.602532,6.568855,-20.415446,-5.803282,-6.737991,0.814587,0.510407,340
13,12.942444,6.594935,-20.436554,13.741527,-6.655418,0.698198,0.634671,263
14,13.897536,29.936902,-39.328471,14.649438,7.057014,0.750719,0.589075,269
15,12.757300,30.063630,-39.431039,13.508953,7.127520,0.558882,0.743659,167
16,0.581850,33.443930,-42.166898,1.326743,9.070932,0.950634,0.650586,470
17,-6.833586,33.582903,-42.279377,-6.088930,9.127036,0.869809,0.663180,385
