hole_id,x_3d,y_3d,z_3d,u_2d_mm,v_2d_mm,diameter_mm,solidity,axis_ratio,circularity
1,120.335682,86.395216,-0.001159,13.867157,-12.951964,1.3393,0.9733,0.9830,0.9625
2,120.337284,94.594850,-0.001206,22.066792,-12.953566,1.3413,0.9790,0.9763,0.9803
3,115.585721,57.357609,-0.001072,-15.170450,-8.202004,1.2406,0.9674,0.9972,0.9651
4,115.586920,67.521167,-0.001130,-5.006891,-8.203203,1.2417,0.9608,0.9923,0.9373
5,115.590134,70.061647,-0.001145,-2.466411,-8.206417,1.2516,0.9595,0.9936,0.9367
6,115.334610,86.390497,-0.001242,13.862439,-7.950893,1.3423,0.9643,0.9873,0.9355
7,115.335387,94.594181,-0.001289,22.066123,-7.951670,1.3383,0.9732,0.9781,0.9607
8,114.064851,51.159618,-0.001062,-21.368440,-6.681134,1.2384,0.9650,0.9885,0.9605
9,110.337127,86.396569,-0.001324,13.868511,-2.953410,1.3413,0.9752,0.9879,0.9663
10,110.337339,94.593538,-0.001371,22.065480,-2.953622,1.3423,0.9661,0.9641,0.9410
11,107.971707,57.360982,-0.001198,-15.167076,-0.587989,1.2461,0.9634,0.9955,0.9463
12,107.972483,67.520218,-0.001256,-5.007840,-0.588766,1.2450,0.9611,0.9908,0.9441
13,107.967922,70.061264,-0.001270,-2.466794,-0.584205,1.2428,0.9676,0.9952,0.9483
14,100.643945,69.862265,-0.001390,-2.665793,6.739772,1.3473,0.9646,0.9957,0.9260
15,100.645721,57.861647,-0.001321,-14.666411,6.737996,1.2406,0.9720,0.9945,0.9651
16,95.148721,90.783480,-0.001599,18.255422,12.234996,1.3089,0.9776,0.9933,0.9722
17,88.444715,57.861686,-0.001522,-14.666373,18.939002,1.3463,0.9682,0.9997,0.9373
18,88.442632,69.859948,-0.001591,-2.668110,18.941085,1.3473,0.9682,0.9899,0.9446
19,87.903520,51.161743,-0.001493,-21.366315,19.480197,1.2428,0.9543,0.9895,0.9250
20,87.651662,90.784074,-0.001723,18.256016,19.732055,1.3068,0.9657,0.9927,0.9481
21,86.444715,63.861608,-0.001589,-8.666450,20.939002,1.3463,0.9682,0.9997,0.9373
